nct_id,titulo,estado,fase,todas_fases,tipo,sponsor,condicion,todas_condiciones,fecha_inicio,año_inicio
NCT01641939,A Study of Trastuzumab Emtansine Versus Taxane in Participants With Human Epidermal Growth Factor Receptor 2 (HER2)-Positive Advanced Gastric Cancer,TERMINATED,PHASE2,PHASE2; PHASE3,INTERVENTIONAL,Hoffmann-La Roche,Gastric Cancer,Gastric Cancer,2012-09-03,2012.0
NCT00409175,Safety and Efficacy Study of Fx-1006A in Patients With Familial Amyloidosis,COMPLETED,PHASE2,PHASE2; PHASE3,INTERVENTIONAL,Pfizer,Familial Amyloid Polyneuropathy,Familial Amyloid Polyneuropathy,2007-01,2007.0
NCT01768572,To Evaluate The Safety of SAR153191 (REGN88) and Tocilizumab Added to Other RA Drugs in Patients With RA Who Are Not Responding to or Intolerant of Anti-TNF Therapy (SARIL-RA-ASCERTAIN),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Sanofi,Rheumatoid Arthritis,Rheumatoid Arthritis,2013-03,2013.0
NCT03552757,Research Study Investigating How Well Semaglutide Works in People With Type 2 Diabetes Suffering From Overweight or Obesity,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Novo Nordisk A/S,Obesity,Obesity; Overweight,2018-06-04,2018.0
NCT00140673,A Study to Test 2 Doses of the HRV Vaccine in Healthy Infants.,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,GlaxoSmithKline,"Infections, Rotavirus","Infections, Rotavirus",2003-08-05,2003.0
NCT01764841,Ciprofloxacin Dry Powder for Inhalation in Non-cystic Fibrosis Bronchiectasis (Non-CF BE),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Bayer,Bronchiectasis,Bronchiectasis,2013-05-02,2013.0
NCT05462522,"A Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of RO7303509 in Participants With Systemic Sclerosis",COMPLETED,PHASE1,PHASE1,INTERVENTIONAL,"Genentech, Inc.",Systemic Sclerosis,Systemic Sclerosis,2023-01-16,2023.0
NCT01997229,Safety and Efficacy of Eculizumab in Refractory Generalized Myasthenia Gravis (REGAIN Study),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,"Alexion Pharmaceuticals, Inc.",Refractory Generalized Myasthenia Gravis,Refractory Generalized Myasthenia Gravis,2013-12,2013.0
NCT03517449,Lenvatinib in Combination With Pembrolizumab Versus Treatment of Physician's Choice in Participants With Advanced Endometrial Cancer (MK-3475-775/E7080-G000-309 Per Merck Standard Convention [KEYNOTE-775]),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Eisai Inc.,Endometrial Neoplasms,Endometrial Neoplasms,2018-06-11,2018.0
NCT00308308,Efficacy & Safety of Inhaled Insulin in Type 1 Diabetes,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Mannkind Corporation,"Diabetes, Type I","Diabetes, Type I",2006-02,2006.0
NCT03371017,A Study of the Efficacy and Safety of Atezolizumab Plus Chemotherapy for Patients With Early Relapsing Recurrent Triple-Negative Breast Cancer,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Hoffmann-La Roche,Triple Negative Breast Neoplasms,Triple Negative Breast Neoplasms,2018-01-11,2018.0
NCT00825955,Comparison of Brivanib and Best Supportive Care to Placebo for Treatment of Liver Cancer for Those Subjects Who Have Failed Sorafenib Treatment,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Bristol-Myers Squibb,Liver Cancer,Liver Cancer,2009-02-17,2009.0
NCT01080040,To Assess the Prevalence of Spasticity and the Impact on the Quality of Life in Multiple Sclerosis Patients,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis, Relapsing Remitting","Multiple Sclerosis, Relapsing Remitting",2008-08,2008.0
NCT01144338,Exenatide Study of Cardiovascular Event Lowering Trial (EXSCEL): A Trial To Evaluate Cardiovascular Outcomes After Treatment With Exenatide Once Weekly In Patients With Type 2 Diabetes Mellitus,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,AstraZeneca,Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,2010-06-18,2010.0
NCT04636697,Study of a Recombinant Coronavirus-Like Particle COVID-19 Vaccine in Adults,ACTIVE_NOT_RECRUITING,PHASE2,PHASE2; PHASE3,INTERVENTIONAL,Medicago,SARS-CoV-2 Infection,SARS-CoV-2 Infection,2020-11-19,2020.0
NCT01316913,24-week Trial Comparing GSK573719/GW642444 With GSK573719 and With Tiotropium in Chronic Obstructive Pulmonary Disease,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,GlaxoSmithKline,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",2011-03,2011.0
NCT05976243,"A Study to Investigate Efficacy, Safety, and Tolerability of Remibrutinib Compared With Placebo in Adults With CINDU Inadequately Controlled by H1-antihistamines",ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Chronic Inducible Urticaria,Chronic Inducible Urticaria,2023-12-07,2023.0
NCT03619213,Dapagliflozin Evaluation to Improve the LIVEs of Patients With PReserved Ejection Fraction Heart Failure.,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,AstraZeneca,Heart Failure With Preserved Ejection Fraction,Heart Failure With Preserved Ejection Fraction,2018-08-27,2018.0
NCT00324155,Dacarbazine and Ipilimumab vs. Dacarbazine With Placebo in Untreated Unresectable Stage III or IV Melanoma,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Bristol-Myers Squibb,Melanoma,Melanoma,2006-08,2006.0
NCT04177017,"Mindfulness, Empathy and Social Integration. Its Relation With Chonic Stress",COMPLETED,NA,NA,INTERVENTIONAL,"National Council of Scientific and Technical Research, Argentina",Chronic Stress Disorder,Chronic Stress Disorder,2017-03-20,2017.0
NCT04817618,Study of Efficacy and Safety of Iptacopan in Patients With C3 Glomerulopathy.,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,C3G,C3G,2021-07-28,2021.0
NCT04576455,"A Study Evaluating the Efficacy and Safety of Giredestrant Compared With Physician's Choice of Endocrine Monotherapy in Participants With Previously Treated Estrogen Receptor-Positive, HER2-Negative Locally Advanced or Metastatic Breast Cancer (acelERA Breast Cancer)",ACTIVE_NOT_RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,Hoffmann-La Roche,"Estrogen Receptor-Positive, HER2-Negative, Locally Advanced or Metastatic Breast Cancer","Estrogen Receptor-Positive, HER2-Negative, Locally Advanced or Metastatic Breast Cancer",2020-11-27,2020.0
NCT04294667,A Study to Evaluate the Efficacy and Safety of Dapirolizumab Pegol in Study Participants With Moderately to Severely Active Systemic Lupus Erythematosus,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,UCB Biopharma SRL,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,2020-08-12,2020.0
NCT01028222,A Study of AMNN107 in the Treatment of Metastatic and/or Inoperable Melanoma Harboring a c-Kit Mutation,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Novartis Pharmaceuticals,Melanoma,Melanoma,2010-06,2010.0
NCT04529122,A Worldwide Cancer Registry Enrolling Participants Profiled With a Next-Generation Sequencing Test,RECRUITING,NO APLICA,NO APLICA,OBSERVATIONAL,Hoffmann-La Roche,Solid Tumours,Solid Tumours,2020-08-27,2020.0
NCT02980731,A Study Evaluating the Impact of Venetoclax on the Quality of Life for Subjects With Relapsed (Your Cancer Has Come Back) or Refractory (no Response to Previous Cancer Treatments) Chronic Lymphocytic Leukemia (CLL) While Receiving Venetoclax Monotherapy (a Single Agent).,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,AbbVie,Chronic Lymphocytic Leukemia (CLL),Chronic Lymphocytic Leukemia (CLL),2016-12-13,2016.0
NCT03001219,A Study of RO7123520 to Evaluate the Safety and Efficacy in Participants With Moderately To Severely Active Rheumatoid Arthritis (RA) Who Are Inadequately Responding to Anti-Tumor Necrosis Factor (TNF)-Alpha Therapy,TERMINATED,PHASE2,PHASE2,INTERVENTIONAL,Hoffmann-La Roche,Rheumatoid Arthritis,Rheumatoid Arthritis,2016-12-22,2016.0
NCT00809965,An Efficacy and Safety Study for Rivaroxaban in Patients With Acute Coronary Syndrome,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Acute Coronary Syndrome,Acute Coronary Syndrome; Myocardial Infarction; Myocardial Ischemia; Unstable Angina,2008-11,2008.0
NCT00459667,BEYOND Follow-up: Betaferon®/Betaseron® Efficacy Yielding Outcomes of a New Dose,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Bayer,"Multiple Sclerosis, Relapsing-Remitting","Multiple Sclerosis, Relapsing-Remitting",2007-05,2007.0
NCT00845728,Exacerbation Study,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,2009-03,2009.0
NCT01573767,Dose-ranging Study of Vilanterol (VI) Inhalation Powder in Children,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,GlaxoSmithKline,Asthma,Asthma,2012-04,2012.0
NCT05630820,Study of Bepirovirsen in Nucleos(t)Ide Analogue-treated Participants With Chronic Hepatitis B (B-Well 2),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,GlaxoSmithKline,Chronic Hepatitis B,"Chronic Hepatitis B; Hepatitis B, Chronic",2022-12-06,2022.0
NCT04573023,A Phase III Study of JR-141 in Patients With Mucopolysaccharidosis II (STARLIGHT),ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,"JCR Pharmaceuticals Co., Ltd.",Mucopolysaccharidosis II,Mucopolysaccharidosis II,2022-02-14,2022.0
NCT07202546,A Phase 2b Study Evaluating Oral VH4524184 Regimens in Treatment Naïve Persons With HIV-1 (INNOVATE Study),RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,ViiV Healthcare,HIV Infections,HIV Infections,2026-02-11,2026.0
NCT01097382,Sleep Satisfaction and Psychomotor Performance of Adults,COMPLETED,PHASE4,PHASE4,INTERVENTIONAL,Sanofi,Sleep Disorders,Sleep Disorders,2010-03,2010.0
NCT02633046,Acthar for Treatment-Resistant or Treatment-Intolerant Proteinuria,COMPLETED,PHASE4,PHASE4,INTERVENTIONAL,Mallinckrodt ARD LLC,Idiopathic Focal Segmental Glomerulosclerosis,Idiopathic Focal Segmental Glomerulosclerosis,2016-10-10,2016.0
NCT06068842,A Study to Assess Prevalence of a Specific Protein Overexpression in Adult Participants With Non-Small Cell Lung Cancer,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,AbbVie,Non Small Cell Lung Cancer,Non Small Cell Lung Cancer,2023-11-03,2023.0
NCT00099294,Study of the Efficacy and Safety of Glufosfamide Compared With Best Supportive Care in Metastatic Pancreatic Cancer,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Threshold Pharmaceuticals,Pancreatic Cancer,Pancreatic Cancer,2004-09,2004.0
NCT02105961,Efficacy and Safety of Mepolizumab as an Add-on Treatment in Chronic Obstructive Pulmonary Disease (COPD),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,GlaxoSmithKline,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",2014-04-24,2014.0
NCT07033494,A Clinical Study of MK-2214 in People With Early Alzheimer's Disease (MK-2214-004),RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,Merck Sharp & Dohme LLC,Early Alzheimer's Disease,Early Alzheimer's Disease,2025-07-16,2025.0
NCT04663490,Neutrophil to Lymphocyte Ratio as a Predictor of Complicated Acute Diverticulitis,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,"Clinica Universitaria Reina Fabiola, Universidad Catolica de Cordoba",Acute Diverticulitis,Acute Diverticulitis,2013-01-01,2013.0
