nct_id,titulo,estado,fase,todas_fases,tipo,sponsor,condicion,todas_condiciones,fecha_inicio,año_inicio
NCT01374373,Epoetin Alfa (Hemax®) Phase IV Study in Chemotherapy Induced Anemia,COMPLETED,PHASE4,PHASE4,INTERVENTIONAL,Bio Sidus SA,Antineoplastic Chemotherapy Induced Anemia,Antineoplastic Chemotherapy Induced Anemia,2011-06,2011.0
NCT00677053,Safety and Efficacy of TAK-442 in Subjects With Acute Coronary Syndromes,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Takeda,Acute Coronary Syndrome,Acute Coronary Syndrome,2008-03,2008.0
NCT06780137,A Study to Evaluate the Safety and Efficacy of Gocatamig (MK-6070) and Ifinatamab Deruxtecan (I-DXd) in Participants With Relapsed/Refractory Extensive-Stage Small Cell Lung Cancer (MK-6070-002),RECRUITING,PHASE1,PHASE1; PHASE2,INTERVENTIONAL,Merck Sharp & Dohme LLC,Small Cell Lung Cancer,Small Cell Lung Cancer,2025-02-27,2025.0
NCT01388972,Assessment of Food Environment and Physical Activity Opportunities in Three Neighbourhoods of Buenos Aires City,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Hospital Italiano de Buenos Aires,Nutrition,Nutrition; Physical Activity,2011-02,2011.0
NCT05951179,Safety and Efficacy Study of Intravesical Instillation of TARA-002 in Adults With High-grade Non-muscle Invasive Bladder Cancer,RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,Protara Therapeutics,Non-muscle Invasive Bladder Cancer,Non-muscle Invasive Bladder Cancer,2023-09-15,2023.0
NCT02233803,"A Non-inferiority Study to Evaluate Efficacy, Safety and Tolerability of NEUMOTEROL® 400 and SYMBICORT® Forte in Adults With Asthma",COMPLETED,PHASE4,PHASE4,INTERVENTIONAL,GlaxoSmithKline,Asthma,Asthma,2014-11-14,2014.0
NCT04576988,A Study of Sotatercept for the Treatment of Pulmonary Arterial Hypertension (MK-7962-003/A011-11)(STELLAR),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,"Acceleron Pharma, Inc., a wholly-owned subsidiary of Merck & Co., Inc., Rahway, NJ USA",Pulmonary Arterial Hypertension,Pulmonary Arterial Hypertension,2021-01-25,2021.0
NCT03963622,Careful Ventilation in Acute Respiratory Distress Syndrome (COVID-19 and Non-COVID-19),RECRUITING,NA,NA,INTERVENTIONAL,Unity Health Toronto,ARDS,ARDS,2020-11-23,2020.0
NCT01507831,Long-term Safety and Tolerability of Alirocumab (SAR236553/REGN727) Versus Placebo on Top of Lipid-Modifying Therapy in High Cardiovascular Risk Patients With Hypercholesterolemia (ODYSSEY Long Term),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Sanofi,Hypercholesterolemia,Hypercholesterolemia,2012-01,2012.0
NCT03440372,Induction Study #1 of Oral Ozanimod as Induction Therapy for Moderately to Severely Active Crohn's Disease,TERMINATED,PHASE3,PHASE3,INTERVENTIONAL,Celgene,Crohn Disease,Crohn Disease,2018-02-27,2018.0
NCT04988295,A Study of Amivantamab and Lazertinib in Combination With Platinum-Based Chemotherapy Compared With Platinum-Based Chemotherapy in Patients With Epidermal Growth Factor Receptor (EGFR)-Mutated Locally Advanced or Metastatic Non- Small Cell Lung Cancer After Osimertinib Failure,ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,"Janssen Research & Development, LLC","Carcinoma, Non-Small-Cell Lung","Carcinoma, Non-Small-Cell Lung",2021-11-17,2021.0
NCT02831673,"An Efficacy, Safety, and Tolerability Study Comparing Dolutegravir Plus Lamivudine With Dolutegravir Plus Tenofovir/Emtricitabine in Treatment naïve HIV Infected Subjects (Gemini 1)",COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,ViiV Healthcare,"Infection, Human Immunodeficiency Virus","Infection, Human Immunodeficiency Virus; HIV Infections",2016-07-21,2016.0
NCT05835531,Evaluation of the Efficacy and Safety of Midline Venous Catheters,UNKNOWN,NO APLICA,NO APLICA,OBSERVATIONAL,Hospital El Cruce,Midline Catheter,Midline Catheter,2022-03-20,2022.0
NCT00528879,A Phase III Study of BMS-512148 (Dapagliflozin) in Patients With Type 2 Diabetes Who Are Not Well Controlled on Metformin Alone,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,AstraZeneca,Type 2 Diabetes,Type 2 Diabetes,2007-09,2007.0
NCT05972746,Telemonitoring Program in the Vulnerable Phase After Hospitalization for Heart Failure,UNKNOWN,NA,NA,INTERVENTIONAL,Instituto Cardiovascular de Buenos Aires,Heart Failure,Heart Failure; Acute Heart Failure,2022-10-07,2022.0
NCT02510261,"The Study of an Investigational Drug, Patisiran (ALN-TTR02), for the Treatment of Transthyretin (TTR)-Mediated Amyloidosis in Participants Who Have Already Been Treated With ALN-TTR02 (Patisiran)",COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Alnylam Pharmaceuticals,Amyloidosis,Amyloidosis,2015-07-16,2015.0
NCT01026142,A Study of a Combination of Trastuzumab and Capecitabine With or Without Pertuzumab in Patients With HER2-positive Metastatic Breast Cancer (PHEREXA),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Hoffmann-La Roche,Breast Cancer,Breast Cancer,2010-01-26,2010.0
NCT01684345,Safety and Efficacy Study of Gevokizumab to Treat Active Non-infectious Uveitis,TERMINATED,PHASE3,PHASE3,INTERVENTIONAL,XOMA (US) LLC,Uveitis,Uveitis,2012-08,2012.0
NCT03650114,"Long-term Safety, Tolerability and Effectiveness Study of Ofatumumab in Patients With Relapsing MS",ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Relapsing Multiple Sclerosis,Relapsing Multiple Sclerosis,2018-12-28,2018.0
NCT05776004,Blinded Efficacy and Safety Study of CAL02 IV Plus SOC in Subjects With Severe Community-Acquired Bacterial Pneumonia,ACTIVE_NOT_RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,"Eagle Pharmaceuticals, Inc.","Pneumonia, Bacterial","Pneumonia, Bacterial",2023-07-22,2023.0
NCT00688376,Efficacy and Safety of Donepezil Hydrochloride in Preadolescent and Adolescent Children With Attention Impairment Following Cancer Treatment,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Eisai Inc.,Attention Impairment,Attention Impairment,2008-07-02,2008.0
NCT06481891,A Study to Evaluate the Efficacy and Safety of Sotagliflozin in Symptomatic Obstructive and Non-obstructive Hypertrophic Cardiomyopathy,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Lexicon Pharmaceuticals,"Obstructive Cardiomyopathy, Hypertrophic","Obstructive Cardiomyopathy, Hypertrophic; Non-obstructive Hypertrophic Cardiomyopathy",2024-09-24,2024.0
NCT02993406,"Evaluation of Major Cardiovascular Events in Participants With, or at High Risk for, Cardiovascular Disease Who Are Statin Intolerant Treated With Bempedoic Acid (ETC-1002) or Placebo",COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,"Esperion Therapeutics, Inc.",Cardiovascular Diseases,Cardiovascular Diseases; Statin Adverse Reaction,2016-12-22,2016.0
NCT01564784,A Study Of Inotuzumab Ozogamicin Versus Investigator's Choice Of Chemotherapy In Patients With Relapsed Or Refractory Acute Lymphoblastic Leukemia,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Pfizer,Acute Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia,2012-08-02,2012.0
NCT07211685,BAY3401016; Biomarker Study Alport,RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,Bayer,Alport Syndrome,Alport Syndrome,2025-11-19,2025.0
NCT00430625,A Study of Gene-Activated® Human Glucocerebrosidase (GA-GCB) Enzyme Replacement Therapy in Gaucher Disease,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Shire,"Gaucher Disease, Type 1","Gaucher Disease, Type 1",2007-02-15,2007.0
NCT00720798,An Extension Study of Tocilizumab (Myeloma Receptor Antibody [MRA]) in Patients Completing Treatment in Tocilizumab Core Studies,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Hoffmann-La Roche,Rheumatoid Arthritis,Rheumatoid Arthritis,2005-09,2005.0
NCT07082738,A Study to Investigate the Effect of AZD6793 in Participants With Moderate to Very Severe Chronic Obstructive Pulmonary Disease,RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,AstraZeneca,Chronic Obstructive Pulmonary Disease (COPD),Chronic Obstructive Pulmonary Disease (COPD),2025-06-27,2025.0
NCT05416255,Measuring Synovial Fluid Components,UNKNOWN,NA,NA,INTERVENTIONAL,Dharma Bioscience,Knee Osteoarthritis,Knee Osteoarthritis,2022-04-01,2022.0
NCT06611878,Memory for Music: Individual Intensive Musical Training in Alzheimer's Disease,RECRUITING,NA,NA,INTERVENTIONAL,NORCE Norwegian Research Centre AS,Alzheimer Disease,Alzheimer Disease,2024-12-01,2024.0
NCT07517263,An Open Label Extension (OLE) Study (Following Completion of CTQJ230A12301) to Evaluate Long-term Safety and Tolerability of Pelacarsen (TQJ230),RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Cardiovascular Disease and Lipoprotein(a),Cardiovascular Disease and Lipoprotein(a),2026-05-11,2026.0
NCT00541658,A Study of a 35 mg Delayed Release Formulation of Risedronate for Osteoporosis,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Warner Chilcott,Postmenopausal Osteoporosis,Postmenopausal Osteoporosis,2007-10,2007.0
NCT06033833,Long-term Safety and Efficacy Evaluation of Subcutaneous Amlitelimab in Adult Participants With Moderate-to-severe Asthma Who Completed Treatment Period of Previous Amlitelimab Asthma Clinical Study,ACTIVE_NOT_RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,Sanofi,Asthma,Asthma,2023-09-05,2023.0
NCT01634152,Efficacy and Safety of 2 Doses of Tiotropium Respimat® Compared to Placebo in Children With Severe Persistent Asthma,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Boehringer Ingelheim,Asthma,Asthma,2012-07,2012.0
NCT00690638,Safety and Efficacy Study of Dutogliptin/PHX1149T to Treat Type 2 Diabetes Mellitus,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Phenomix,Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,2008-07,2008.0
NCT06972615,Intravesical Chemotherapy in Combination With Systemic Pembrolizumab in NMIBC Unresponsive or Exposed to BCG Therapy,NOT_YET_RECRUITING,PHASE2,PHASE2,INTERVENTIONAL,BLATAM,Non Muscle Invasive Bladder Cancer,Non Muscle Invasive Bladder Cancer,2026-04-01,2026.0
NCT00358176,Risedronate 75mg Dosed on 2 Consecutive Days Monthly in the Treatment of Osteoporosis in Postmenopausal Women,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Sanofi,Osteoporosis Postmenopausal,Osteoporosis Postmenopausal,2004-07,2004.0
NCT00005918,Effectiveness and Safety of Two Forms of Stavudine in HIV-Infected Patients,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Bristol-Myers Squibb,HIV Infections,HIV Infections,2000-06,2000.0
NCT00651209,A Single-arm Study Evaluating the Efficacy and Safety of Telbivudine With or Without add-on Tenofovir in Adults With HBeAg-positive Chronic Hepatitis B (CHB),COMPLETED,PHASE4,PHASE4,INTERVENTIONAL,Novartis Pharmaceuticals,"Hepatitis B, Chronic","Hepatitis B, Chronic",2008-02,2008.0
NCT00414609,Safety and Efficacy of Aliskiren in Post Myocardial Infarction Patients (ASPIRE),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Novartis,Myocardial Infarction,Myocardial Infarction,2006-12,2006.0
NCT01324232,Safety and Efficacy of AVP-923 in the Treatment of Central Neuropathic Pain in Multiple Sclerosis,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Avanir Pharmaceuticals,Central Neuropathic Pain,Central Neuropathic Pain; Multiple Sclerosis,2011-09-08,2011.0
NCT03775863,AFP Model and Liver Transplantation.,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,"Austral University, Argentina",Liver Carcinoma,Liver Carcinoma; Liver Transplant Disorder,2017-11-11,2017.0
NCT06878404,A Study to Evaluate the Efficacy and Safety of JNJ-77242113 (Icotrokinra) in Biologic-naïve Participants With Active Psoriatic Arthritis,ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,"Janssen Research & Development, LLC","Arthritis, Psoriatic","Arthritis, Psoriatic",2025-02-21,2025.0
NCT04437849,Home Telemonitoring System for Patients With Heart Failure vs Usual Care,COMPLETED,NA,NA,INTERVENTIONAL,Universidad Nacional de Tucuman,Heart Failure,Heart Failure,2018-08-01,2018.0
NCT05215340,Study of Dato-DXd Plus Pembrolizumab vs Pembrolizumab Alone in the First-line Treatment of Subjects With Advanced or Metastatic NSCLC Without Actionable Genomic Alterations,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Daiichi Sankyo,Metastatic Non Small Cell Lung Cancer,Metastatic Non Small Cell Lung Cancer,2022-03-04,2022.0
NCT01920711,"Efficacy and Safety of LCZ696 Compared to Valsartan, on Morbidity and Mortality in Heart Failure Patients With Preserved Ejection Fraction",COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Heart Failure With Preserved Ejection Fraction,Heart Failure With Preserved Ejection Fraction,2014-07-18,2014.0
NCT05463744,A Study of Insulin Efsitora Alfa (LY3209590) Compared With Insulin Degludec in Participants With Type 1 Diabetes Treated With Multiple Daily Injection Therapy,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Eli Lilly and Company,Type 1 Diabetes,Type 1 Diabetes; Diabetes,2022-08-12,2022.0
NCT05833464,Cost-effectiveness Study of a Multidisciplinary Weight Loss Method to Improve the Health Condition of Obese Patients,WITHDRAWN,NO APLICA,NO APLICA,OBSERVATIONAL,Protein Supplies SL,Obesity,Obesity; Obese,2018-05,2018.0
NCT05127798,RWE of 1st Line Treatment in Adults With AML From 18 to 70 Years Old.,UNKNOWN,NO APLICA,NO APLICA,OBSERVATIONAL,Grupo Argentino de Tratamiento de la Leucemia Aguda,"Acute Myeloid Leukemia, Adult","Acute Myeloid Leukemia, Adult",2021-03-01,2021.0
NCT05226598,Study of Pembrolizumab/Vibostolimab Coformulation (MK-7684A) in Combination With Chemotherapy Versus Pembrolizumab Plus Chemotherapy in Participants With Metastatic Non-Small Cell Lung Cancer (MK-7684A-007/KEYVIBE-007),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Merck Sharp & Dohme LLC,Metastatic Non-Small Cell Lung Cancer,Metastatic Non-Small Cell Lung Cancer,2022-03-24,2022.0
NCT03299049,"Efficacy, Safety and Tolerability Study of Long-acting Cabotegravir Plus Long-acting Rilpivirine (CAB LA + RPV LA) in Human-immunodeficiency Virus-1 (HIV-1) Infected Adults",ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,ViiV Healthcare,HIV Infections,HIV Infections,2017-10-27,2017.0
NCT03773965,A Study of Baricitinib in Participants From 1 Year to Less Than 18 Years Old With Juvenile Idiopathic Arthritis,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Eli Lilly and Company,Juvenile Idiopathic Arthritis,Juvenile Idiopathic Arthritis,2019-04-05,2019.0
NCT01661634,Efficacy and Safety of Ularitide for the Treatment of Acute Decompensated Heart Failure,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Cardiorentis,Acute Decompensated Heart Failure,Acute Decompensated Heart Failure,2012-07,2012.0
NCT02855164,Study of Safety and Efficacy of Tropifexor (LJN452) in Patients With Non-alcoholic Steatohepatitis (NASH),TERMINATED,PHASE2,PHASE2,INTERVENTIONAL,Novartis Pharmaceuticals,Non-alcoholic Steatohepatitis (NASH),Non-alcoholic Steatohepatitis (NASH),2016-08-01,2016.0
NCT02491684,"A Study in Asthma Patients to Evaluate Efficacy, Safety and Tolerability of 14 Days Once Daily Inhaled Interferon Beta-1a After the Onset of Symptoms of an Upper Respiratory Tract Infection",COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,AstraZeneca,Asthma,Asthma,2015-07-21,2015.0
NCT00113607,An Efficacy and Safety Study for Yondelis (Trabectedin) in Patients With Advanced Relapsed Ovarian Cancer,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Ovarian Cancer,Ovarian Cancer,2005-04,2005.0
NCT03317236,Bioequivalence Study of Two Extended Release Formulations Containing 50 mg of Quetiapine.,COMPLETED,PHASE4,PHASE4,INTERVENTIONAL,Laboratorio Elea Phoenix S.A.,Healthy,Healthy,2017-03-13,2017.0
NCT00614211,Laparoscopic Approach to Cervical Cancer,COMPLETED,NA,NA,INTERVENTIONAL,Queensland Centre for Gynaecological Cancer,Cervical Cancer,Cervical Cancer,2008-01,2008.0
NCT04955964,A Study of Lanadelumab in Teenagers and Adults With Hereditary Angioedema (HAE) in Argentina,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Takeda,"Angioedemas, Hereditary","Angioedemas, Hereditary",2021-07-28,2021.0
NCT03919032,Bacterial Infections in Patients with Cirrhosis in Argentina: Clinical and Microbiological Characteristics,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Hospital Italiano de Buenos Aires,Bacterial Infections,Bacterial Infections; Cirrhosis; Resistant Infection; Morality,2018-10-16,2018.0
NCT01335698,Phase IIIB Study Evaluating the Effects of Atazanavir Powder With Ritonavir in HIV-infected Pediatric Patients,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Bristol-Myers Squibb,HIV,HIV,2011-05-27,2011.0
NCT03242252,"Safety and Efficacy Study of Sotagliflozin on Glucose Control in Participants With Type 2 Diabetes, Moderate Impairment of Kidney Function, and Inadequate Blood Sugar Control",COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Lexicon Pharmaceuticals,Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus; Chronic Kidney Disease Stage 3,2017-08-16,2017.0
NCT06340568,A Clinical Study of the Anti-cancer Effects of an Investigational Therapy or Chemotherapy in Patients With Recurring Uterine Cancer,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,BioNTech SE,Endometrial Cancer,Endometrial Cancer,2025-06-10,2025.0
NCT01860066,A 12 Week Study of QVA149 Compared to Fluticasone/Salmeterol (Advair) for Treatment of COPD,WITHDRAWN,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,2013-12,2013.0
NCT01182428,XIENCE V: SPIRIT WOMEN Sub-study,COMPLETED,PHASE4,PHASE4,INTERVENTIONAL,Abbott Medical Devices,Coronary Artery Stenosis,Coronary Artery Stenosis; Coronary Arteriosclerosis; Coronary Artery Disease; Coronary Artery Restenosis; Total Coronary Occlusion; Stent Thrombosis; Vascular Disease; Myocardial Ischemia,2008-09,2008.0
NCT07005128,"A Study Comparing Tarlatamab, Durvalumab, Carboplatin, and Etoposide Versus Durvalumab, Carboplatin, and Etoposide in First-line Extensive Stage Small-Cell Lung Cancer (ES-SCLC)",RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Amgen,Small-cell Lung Cancer,Small-cell Lung Cancer; Extensive Stage Small-cell Lung Cancer,2025-08-18,2025.0
NCT00877292,A New Prenatal Blood Test for Down Syndrome,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Women and Infants Hospital of Rhode Island,Down Syndrome,Down Syndrome; Trisomy 21,2009-02,2009.0
NCT05298592,A Study of BMS-986406 as Monotherapy and Combination Therapies in Participants With Advanced Tumors,COMPLETED,PHASE1,PHASE1,INTERVENTIONAL,Bristol-Myers Squibb,Advanced Cancer,Advanced Cancer,2022-03-31,2022.0
NCT01013987,Maraviroc (Celsentri) With Raltegravir and Darunavir/Ritonavir for the Treatment of Triple Class Failure in Adult HIV-1 Infected Patients,UNKNOWN,PHASE4,PHASE4,INTERVENTIONAL,Fundación Huésped,HIV-1 Adults Patients,HIV-1 Adults Patients; AIDS; Triple Class Failure,2010-02,2010.0
NCT01676701,Evaluation of Tabalumab Using Auto-Injector or Prefilled Syringe in Participants With Rheumatoid Arthritis (RA),TERMINATED,PHASE3,PHASE3,INTERVENTIONAL,Eli Lilly and Company,Rheumatoid Arthritis,Rheumatoid Arthritis,2012-09,2012.0
NCT02586909,12-Month Open-Label Extension Study of Intepirdine (RVT-101) in Subjects With Alzheimer's Disease: MINDSET Extension,TERMINATED,PHASE3,PHASE3,INTERVENTIONAL,Axovant Sciences Ltd.,Alzheimer's Disease,Alzheimer's Disease,2016-04-26,2016.0
NCT05550532,A Study of Aticaprant 10 Milligrams (mg) as Adjunctive Therapy in Adult Participants With MDD With Moderate-to-severe Anhedonia and Inadequate Response to Current Antidepressant Therapy,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,"Janssen Research & Development, LLC","Depressive Disorder, Major","Depressive Disorder, Major; Anhedonia",2022-12-06,2022.0
NCT01064687,A Study in Participants With Type 2 Diabetes Mellitus,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Eli Lilly and Company,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2",2010-02,2010.0
NCT02542293,Study of Durvalumab With Tremelimumab Versus SoC as 1st Line Therapy in Metastatic Non Small-Cell Lung Cancer (NSCLC) (NEPTUNE),ACTIVE_NOT_RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,AstraZeneca,Non Small Cell Lung Carcinoma NSCLC,Non Small Cell Lung Carcinoma NSCLC,2015-11-03,2015.0
NCT05003947,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for IBD,RECRUITING,PHASE1,PHASE1,INTERVENTIONAL,The Foundation for Orthopaedics and Regenerative Medicine,Inflammatory Bowel Diseases,Inflammatory Bowel Diseases,2022-06-11,2022.0
NCT06692738,A Global Phase III Study of Rilvegostomig or Pembrolizumab Plus Chemotherapy for First-Line Treatment of Metastatic Squamous Non-small Cell Lung Cancer (NSCLC),RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,AstraZeneca,Non-small Cell Lung Cancer,Non-small Cell Lung Cancer,2024-11-18,2024.0
NCT02525939,Effect of Dalcetrapib vs Placebo on CV Risk in a Genetically Defined Population With a Recent ACS,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,DalCor Pharmaceuticals,Acute Coronary Syndrome,Acute Coronary Syndrome,2016-04,2016.0
NCT04132375,"Phase 2/3 Study to Evaluate PK, Safety & Efficacy of INM004 in STEC Positive Pediatric Patients for Prevention of HUS",TERMINATED,PHASE2,PHASE2; PHASE3,INTERVENTIONAL,Inmunova S.A.,Bloody Diarrhea,"Bloody Diarrhea; STEC, Unspecified; Hemolytic-Uremic Syndrome; Pediatric Kidney Disease",2019-07-17,2019.0
NCT03713619,This Was a Study of Efficacy and Safety of Two Secukinumab Dose Regimens in Subjects With Moderate to Severe Hidradenitis Suppurativa (HS).,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Hidradenitis Suppurativa,Hidradenitis Suppurativa,2019-01-31,2019.0
NCT02164292,"ALPPS: Safety, Feasibility and Efficacy at a Single Center",COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Hospital Italiano de Buenos Aires,Locally Advanced Malignant Liver Disease,Locally Advanced Malignant Liver Disease,2011-06,2011.0
NCT03577899,Efficacy and Safety Trial of Conbercept Intravitreal Injection for Neovascular AMD (PANDA-1),TERMINATED,PHASE3,PHASE3,INTERVENTIONAL,"Chengdu Kanghong Biotech Co., Ltd.",Neovascular Age-related Macular Degeneration,Neovascular Age-related Macular Degeneration,2018-09-25,2018.0
NCT04154787,Efficacy and Safety of LNP023 Compared With Rituximab in Subjects With Idiopathic Membranous Nephropathy,TERMINATED,PHASE2,PHASE2,INTERVENTIONAL,Novartis Pharmaceuticals,Idiopathic Membranous Nephropathy,Idiopathic Membranous Nephropathy,2019-11-23,2019.0
NCT01775267,ALLPS VERSUS PVO Randomized Controlled Trial,TERMINATED,PHASE2,PHASE2,INTERVENTIONAL,University of Zurich,Liver Tumors Not Resectable in One Surgical Procedure,Liver Tumors Not Resectable in One Surgical Procedure,2012-11,2012.0
NCT01673867,Study of BMS-936558 (Nivolumab) Compared to Docetaxel in Previously Treated Metastatic Non-squamous NSCLC,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Bristol-Myers Squibb,Non-Squamous Cell Non-small Cell Lung Cancer,Non-Squamous Cell Non-small Cell Lung Cancer,2012-11-02,2012.0
NCT04056611,Effects of JNJ-53718678 in Adult and Adolescent Participants Who Had a Hematopoietic Stem Cell Transplantation and Who Are Infected With Respiratory Syncytial Virus (RSV),TERMINATED,PHASE2,PHASE2,INTERVENTIONAL,Janssen Sciences Ireland UC,Respiratory Syncytial Virus Infections,Respiratory Syncytial Virus Infections,2019-12-26,2019.0
NCT01009463,A Study to Evaluate the Efficacy and Safety of Fluticasone Furoate (FF)/GW642444 Inhalation Powder in Subjects With Chronic Obstructive Pulmonary Disease (COPD),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,GlaxoSmithKline,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",2009-09-25,2009.0
NCT07155148,Argentine Registry of Crohn's Disease and Ulcerative Colitis,RECRUITING,NO APLICA,NO APLICA,OBSERVATIONAL,Grupo Argentino de Enfermedad de Crohn y Colitis Ulcerosa,Epidemiology,Epidemiology; Inflammatory Bowel Disease (IBD); Therapy,2023-07-14,2023.0
NCT02696798,A Study of Ixekizumab (LY2439821) in TNF Inhibitor Experienced Participants With Radiographic Axial Spondyloarthritis,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Eli Lilly and Company,Spondyloarthritis,Spondyloarthritis,2016-04-12,2016.0
NCT05032066,"A Multicenter Trial to Evaluate the Efficacy, Safety and Tolerability of HZN-825 in Subjects With Idiopathic Pulmonary Fibrosis",TERMINATED,PHASE2,PHASE2,INTERVENTIONAL,Amgen,Idiopathic Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis,2022-01-20,2022.0
NCT06796907,A Study of GSK5733584 in Combination With Anti-cancer Therapies for Advanced Solid Tumors,RECRUITING,PHASE1,PHASE1; PHASE2,INTERVENTIONAL,GlaxoSmithKline,"Tumours, Gynecological","Tumours, Gynecological",2025-03-04,2025.0
NCT01107886,Does Saxagliptin Reduce the Risk of Cardiovascular Events When Used Alone or Added to Other Diabetes Medications,COMPLETED,PHASE4,PHASE4,INTERVENTIONAL,AstraZeneca,Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,2010-05,2010.0
NCT00968669,A Study to Evaluate the Effectiveness and Safety of MEDI-528 in Adults,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,MedImmune LLC,Asthma,Asthma,2009-12,2009.0
NCT06232707,A Study to Evaluate Efficacy and Safety of Alnuctamab Compared to Standard of Care Regimens in Participants With Relapsed or Refractory Multiple Myeloma (RRMM),WITHDRAWN,PHASE3,PHASE3,INTERVENTIONAL,Celgene,Multiple Myeloma,Multiple Myeloma,2024-05-03,2024.0
NCT05568407,A Study of Avelumab in Real-World Treatment for Patients With Advanced or Metastatic Urothelial Cancer,TERMINATED,NO APLICA,NO APLICA,OBSERVATIONAL,Pfizer,Bladder Cancer,Bladder Cancer,2023-01-18,2023.0
NCT00485264,Safety and Pharmacokinetics (PK) of Raltegravir in HIV (Human Immunodeficiency Virus)-Infected Children and Adolescents,COMPLETED,PHASE1,PHASE1; PHASE2,INTERVENTIONAL,National Institute of Allergy and Infectious Diseases (NIAID),HIV Infections,HIV Infections,2007-09-17,2007.0
